Drop Down,Drop Down.1,Drop Down.2,Drop Down.3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Drop Down.4,Drop Down.5,251031 - added column from Synthetics,251031 - added column from Synthetics .1,251031 - added column from Synthetics .2
Value Stream,Stage Gate,Stage Gate Description,Functional Area/Subteam,Category,Deliverable,"Explanation/
Translation",Owner,Status,To be presented at,"Plan 
date","Actual
date","Comments/
Document reference"
CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Start collaboration with Cell Enginering (CE) and Therapeutics Discovery (TD) to start knowledge transfer and align on methods used  for early development,,,,,,,
CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Review available data from Therapeutics Discovery (TD) on the program,,,,,,,
CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Identify the needs of critical reagents of new process impurities and plan for manufacturing. ,,,,,,,
CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Identify new de novo methods to support new modalities.,,,,,,,
CGT,0,Entry in ED (C&GT),API (Cell & Gene),,"Review of plasmid construct details with TD- sequence, maps, element tables in source document",,,,,,,
CGT,0,Entry in ED (C&GT),API (Cell & Gene),,Full plasmid sequencing and legal identification/freedom to operate before sending to CMO to start MCB activities,,,,,,,
CGT,0,Entry in ED (C&GT),API (Cell & Gene),,Sourcing committee review of plasmid supplier,,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,EHS Requirement: Determine DG classification & packaging reqs.,,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,Risk assessment initiated using the Risk Registers.,,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,CMC team Assignments - confirm SIs  6 months prior to NME declaration,,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),, Target Molecule Profile developed ,,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,Critical Questions exercise to be initiated (CMC Team to lead with attendees from Discovery) and documented in the Risk Register.,,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,"Recommend adding SG 0 for CMCRA - Defining the CGT Raw Material and Starting Material Sourcing Strategy (e.g. Plasmids & Vectors, Cell line, Excipients, IP/licensing considerations e.g. Japan)",,,,,,,
CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,Donor material - alignment to US/EU donor testing requirements  need to have discussion whether its autologous or allogenic,,,,,,,
CGT,0,Entry in ED (C&GT),Discovery,,Knowledge transfer from the above IPSC (Discovery to BTDS). ,,,,,,,
CGT,0,Entry in ED (C&GT),Discovery,,IPSC Meetings completed  for  knowledge transfer from Discovery.,,,,,,,
CGT,0,Entry in ED (C&GT),Material Sciences (MS),,"In collaboration with TD, CLD, API, DPD and EQ complete material and supplier selection on new raw materials and ensure representative raw materials are used in early development and leading into Early Look Material (ELM), non-GLP and GLP tox batches.  ",,,,,,,
CGT,1,NME Selection,Analytical Development (AD),,"Evaluate program fit to platform methods with PAS input, identify non-platform needs and add to risk register.",,,,,,,
CGT,1,NME Selection,Analytical Development (AD),,Complete early characterization data review from DAS Committee  (or L&A external partner) and ensure risks are identified and mitigation plans developed.,,,,,,,
