source_file,workbook,sheet,Drop Down,Drop Down.1,Drop Down.2,Drop Down.3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Drop Down.4,Drop Down.5,251031 - added column from Synthetics,251031 - added column from Synthetics .1,251031 - added column from Synthetics .2,CMC #,Stage Gate/Milestones,Abbreviation & Nomenclature,Definition,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Value Stream,Functional Area of Responsibility,Contact,Person,Specialty,Unnamed: 8
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,Value Stream,Stage Gate,Stage Gate Description,Functional Area/Subteam,Category,Deliverable,"Explanation/
Translation",Owner,Status,To be presented at,"Plan 
date","Actual
date","Comments/
Document reference",,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Start collaboration with Cell Enginering (CE) and Therapeutics Discovery (TD) to start knowledge transfer and align on methods used  for early development,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Review available data from Therapeutics Discovery (TD) on the program,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Identify the needs of critical reagents of new process impurities and plan for manufacturing. ,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),Analytical Development (AD),,Identify new de novo methods to support new modalities.,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),API (Cell & Gene),,"Review of plasmid construct details with TD- sequence, maps, element tables in source document",,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),API (Cell & Gene),,Full plasmid sequencing and legal identification/freedom to operate before sending to CMO to start MCB activities,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),API (Cell & Gene),,Sourcing committee review of plasmid supplier,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,EHS Requirement: Determine DG classification & packaging reqs.,,,,,,,,,,,,,,,,,,,,,
Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB__SGD.csv,Protein_and_CGT_SGD_Template_Final_ENDORSED_JAN_2023_MOD_NB,SGD,CGT,0,Entry in ED (C&GT),CMC Leadership (CMC-L),,Risk assessment initiated using the Risk Registers.,,,,,,,,,,,,,,,,,,,,,
